OrderID,OrderDate,Region,Product,Quantity,UnitPrice,TotalPrice,Discount,Promotion,Returned,CustomerType,Salesperson,PaymentMethod,StoreLocation,ShippingCost,DeliveryDate,Months,Years
REG100023,2023-08-06,Central,Laptop,12,472.72,4821.744,0.15,No Promostion,0,Retail,Diana,Credit Card,Store D,27.97,2023-08-14,August,2023
REG100024,2024-05-23,North,Desk,5,288.01,1440.05,0,Freeship,0,Wholesale,Eva,Credit Card,Store A,46.69,2024-05-30,May,2024
REG100025,2023-10-23,East,Phone,13,562.29,7309.77,0,Save10,0,Retail,Diana,Gift Card,Store D,38.13,2023-10-28,October,2023
REG100026,2025-06-16,West,Phone,1,101.73,101.73,0,Winter15,0,Retail,Frank,Debit Card,Store D,11.59,2025-06-25,June,2025
REG100027,2023-03-03,North,Phone,4,279.49,1117.96,0,Freeship,0,Retail,Diana,Credit Card,Store B,24.78,2023-03-08,March,2023
REG100028,2024-11-18,South,Laptop,1,178.55,151.7675,0.15,Save10,1,Retail,Carlos,Debit Card,Store A,7.61,2024-11-21,November,2024
REG100029,2023-05-09,Central,Tablet,1,472.07,424.863,0.1,Freeship,0,Wholesale,Carlos,Online,Store A,33.17,2023-05-17,May,2023
REG100030,2024-12-07,North,Tablet,12,306.29,3675.48,0,Save10,0,Retail,Frank,Debit Card,Store D,37.38,2024-12-14,December,2024
REG100031,2024-02-13,North,Phone,7,434.77,2586.8815,0.15,Save10,0,Retail,Frank,Online,Store C,12.35,2024-02-15,February,2024
REG100032,2025-03-09,South,Desk,6,64.98,389.88,0,Winter15,0,Retail,Carlos,Debit Card,Store C,21.25,2025-03-15,March,2025
REG100033,2023-04-05,Central,Desk,17,476.49,8100.33,0,No Promostion,0,Retail,Alice,Gift Card,Store D,17.91,2023-04-11,April,2023
REG100034,2025-05-08,North,Monitor,4,559.72,1903.048,0.15,Save10,0,Retail,Diana,Online,Store D,41.91,2025-05-12,May,2025
REG100035,2023-09-03,North,Tablet,14,82.14,1149.96,0,No Promostion,0,Retail,Alice,Credit Card,Store C,12.57,2023-09-11,September,2023
REG100036,2025-03-21,Central,Chair,9,343.21,2934.4455,0.05,Freeship,0,Retail,Carlos,Debit Card,Store A,40.29,2025-03-28,March,2025
REG100037,2025-06-20,South,Chair,7,301.01,1791.0095,0.15,Save10,1,Retail,Diana,Cash,Store B,34.97,2025-06-30,June,2025
REG100038,2024-02-15,Central,Printer,14,428.13,5394.438,0.1,No Promostion,1,Retail,Bob,Cash,Store C,24.77,2024-02-25,February,2024
REG100039,2023-06-09,Central,Laptop,2,503.28,855.576,0.15,No Promostion,0,Retail,Alice,Gift Card,Store D,34.79,2023-06-17,June,2023
REG100040,2023-08-10,South,Printer,5,470.32,2116.44,0.1,Save10,0,Retail,Eva,Debit Card,Store A,17.77,2023-08-14,August,2023
REG100041,2024-06-16,Central,Printer,20,65.17,1238.23,0.05,Freeship,0,Wholesale,Eva,Gift Card,Store C,21.72,2024-06-25,June,2024
REG100042,2023-07-23,South,Laptop,12,36.17,434.04,0,Winter15,0,Retail,Eva,Online,Store A,34.85,2023-07-26,July,2023
REG100043,2023-05-20,Central,Printer,4,459.31,1561.654,0.15,Winter15,1,Wholesale,Carlos,Gift Card,Store D,27.39,2023-05-27,May,2023
REG100044,2023-06-30,South,Laptop,2,416.06,790.514,0.05,Save10,0,Retail,Eva,Debit Card,Store D,11.62,2023-07-04,June,2023
REG100045,2024-06-04,South,Tablet,16,302.58,4841.28,0,Winter15,1,Retail,Alice,Online,Store D,20.76,2024-06-14,June,2024
REG100046,2025-02-03,West,Chair,11,33.13,309.7655,0.15,Freeship,0,Retail,Frank,Online,Store A,24.95,2025-02-05,February,2025
REG100047,2024-01-09,East,Tablet,8,582.52,3961.136,0.15,Winter15,0,Retail,Frank,Gift Card,Store D,6.47,2024-01-13,January,2024
REG100048,2024-03-14,North,Desk,5,165.15,743.175,0.1,No Promostion,0,Retail,Eva,Gift Card,Store A,20.57,2024-03-16,March,2024
REG100049,2024-09-06,West,Monitor,14,242.82,2889.558,0.15,Winter15,1,Wholesale,Alice,Cash,Store D,20.71,2024-09-13,September,2024
REG100050,2023-03-17,East,Monitor,13,65.99,772.083,0.1,Winter15,0,Wholesale,Frank,Cash,Store A,12.87,2023-03-20,March,2023
REG100051,2025-01-17,West,Chair,2,251.69,503.38,0,Freeship,0,Wholesale,Alice,Debit Card,Store C,42.49,2025-01-24,January,2025
REG100052,2024-09-12,South,Laptop,1,269.41,242.469,0.1,Winter15,1,Wholesale,Eva,Cash,Store B,19.22,2024-09-18,September,2024
REG100053,2024-01-05,South,Monitor,2,371.3,705.47,0.05,Save10,0,Wholesale,Bob,Credit Card,Store B,36.51,2024-01-15,January,2024
REG100054,2024-04-19,West,Tablet,11,288.24,2695.044,0.15,No Promostion,0,Wholesale,Diana,Online,Store A,37.39,2024-04-25,April,2024
REG100055,2025-06-11,Central,Tablet,11,232.75,2432.2375,0.05,Save10,0,Wholesale,Eva,Credit Card,Store D,36.33,2025-06-21,June,2025
REG100056,2025-03-06,East,Phone,17,146.28,2113.746,0.15,Save10,0,Retail,Carlos,Cash,Store B,7.84,2025-03-15,March,2025
REG100057,2023-05-24,East,Chair,5,100.38,451.71,0.1,Winter15,1,Retail,Eva,Gift Card,Store C,18.35,2023-05-26,May,2023
REG100058,2023-01-27,South,Phone,11,375.48,3923.766,0.05,Winter15,0,Retail,Bob,Debit Card,Store B,15.95,2023-02-03,January,2023
REG100059,2024-03-21,South,Laptop,18,316.89,5418.819,0.05,Freeship,0,Wholesale,Bob,Cash,Store B,15.69,2024-03-27,March,2024
REG100060,2025-01-25,West,Laptop,20,295.06,5016.02,0.15,Save10,1,Retail,Frank,Online,Store D,13.66,2025-01-31,January,2025
REG100061,2023-06-12,Central,Phone,8,301.68,2413.44,0,Save10,0,Retail,Eva,Cash,Store D,36.54,2023-06-21,June,2023
REG100062,2025-03-22,Central,Chair,3,475.39,1283.553,0.1,No Promostion,0,Retail,Alice,Gift Card,Store B,15.62,2025-03-26,March,2025
REG100063,2024-02-24,Central,Desk,16,47.25,642.6,0.15,Freeship,0,Retail,Bob,Debit Card,Store D,29.5,2024-02-27,February,2024
REG100064,2023-12-09,South,Chair,15,511.17,7667.55,0,Freeship,0,Wholesale,Frank,Online,Store B,21.77,2023-12-12,December,2023
REG100065,2023-10-01,Central,Monitor,3,66.58,179.766,0.1,Freeship,0,Retail,Frank,Debit Card,Store B,22.43,2023-10-05,October,2023
REG100066,2023-07-31,West,Tablet,5,490.52,2329.97,0.05,No Promostion,0,Wholesale,Frank,Online,Store D,12.24,2023-08-07,July,2023
REG100067,2024-12-24,South,Chair,8,405.96,3085.296,0.05,Winter15,0,Wholesale,Carlos,Credit Card,Store A,41.27,2024-12-31,December,2024
REG100068,2024-11-15,North,Phone,1,159.41,143.469,0.1,Freeship,0,Retail,Bob,Credit Card,Store B,35.14,2024-11-19,November,2024
REG100069,2025-03-13,West,Monitor,16,38.49,523.464,0.15,Save10,0,Retail,Carlos,Debit Card,Store C,8.38,2025-03-22,March,2025
REG100070,2024-03-03,East,Tablet,15,328.36,4186.59,0.15,Winter15,0,Retail,Alice,Gift Card,Store D,15.76,2024-03-12,March,2024
REG100071,2023-02-11,Central,Tablet,20,548.01,9864.18,0.1,Winter15,1,Wholesale,Eva,Credit Card,Store A,5.89,2023-02-14,February,2023
REG100072,2023-10-26,South,Desk,13,484.45,5982.9575,0.05,Winter15,1,Wholesale,Carlos,Gift Card,Store B,6.57,2023-11-05,October,2023
REG100073,2023-10-21,South,Monitor,13,195.84,2418.624,0.05,No Promostion,0,Wholesale,Alice,Credit Card,Store A,33.52,2023-10-28,October,2023
REG100074,2024-01-14,Central,Tablet,19,29.94,483.531,0.15,Freeship,0,Retail,Diana,Debit Card,Store D,33.59,2024-01-20,January,2024
REG100075,2023-07-27,Central,Desk,10,553.91,4985.19,0.1,No Promostion,0,Wholesale,Eva,Online,Store D,31.3,2023-07-31,July,2023
REG100076,2024-10-23,South,Phone,14,445.52,5613.552,0.1,Save10,0,Retail,Bob,Online,Store B,14.41,2024-10-25,October,2024
REG100077,2023-09-26,South,Chair,5,551.58,2344.215,0.15,Winter15,1,Retail,Alice,Online,Store B,7.87,2023-10-01,September,2023
REG100078,2023-12-16,East,Phone,13,241.4,3138.2,0,Save10,0,Retail,Carlos,Gift Card,Store D,49.05,2023-12-20,December,2023
REG100079,2024-01-02,Central,Printer,19,351.93,6686.67,0,No Promostion,0,Wholesale,Alice,Credit Card,Store A,39.98,2024-01-05,January,2024
REG100080,2024-02-16,North,Phone,4,83.75,318.25,0.05,Save10,1,Retail,Alice,Debit Card,Store A,38.82,2024-02-25,February,2024
REG100081,2024-05-03,East,Monitor,5,416.95,1772.0375,0.15,No Promostion,1,Wholesale,Frank,Online,Store A,24.03,2024-05-12,May,2024
REG100082,2023-05-27,West,Monitor,18,142.43,2435.553,0.05,Save10,1,Retail,Bob,Credit Card,Store C,12.38,2023-06-02,May,2023
REG100083,2023-01-05,East,Desk,12,582.52,6990.24,0,Freeship,0,Wholesale,Bob,Credit Card,Store A,41.16,2023-01-11,January,2023
REG100084,2025-05-21,East,Chair,20,129.56,2202.52,0.15,Winter15,0,Retail,Diana,Online,Store A,40.21,2025-05-23,May,2025
REG100085,2023-07-21,Central,Tablet,17,431.82,7340.94,0,Freeship,1,Retail,Eva,Gift Card,Store B,37.75,2023-07-25,July,2023
REG100086,2025-05-25,East,Laptop,15,15.85,237.75,0,Winter15,0,Retail,Bob,Debit Card,Store C,23.49,2025-06-03,May,2025
REG100087,2024-11-16,South,Tablet,20,548.34,9870.12,0.1,Winter15,0,Retail,Bob,Gift Card,Store B,33.47,2024-11-22,November,2024
REG100088,2023-11-19,North,Laptop,16,525.83,7992.616,0.05,No Promostion,0,Wholesale,Frank,Online,Store C,36.47,2023-11-25,November,2023
REG100089,2025-01-12,Central,Laptop,15,411.38,5862.165,0.05,Save10,0,Wholesale,Bob,Online,Store A,48.51,2025-01-21,January,2025
REG100090,2023-03-29,North,Monitor,19,559.95,9575.145,0.1,Winter15,0,Wholesale,Carlos,Credit Card,Store A,18.3,2023-04-03,March,2023
REG100091,2025-03-01,North,Desk,8,179.9,1367.24,0.05,Save10,0,Retail,Carlos,Online,Store C,14.8,2025-03-05,March,2025
REG100092,2023-10-18,North,Chair,12,494.15,5040.33,0.15,Save10,1,Wholesale,Diana,Online,Store B,18.05,2023-10-20,October,2023
REG100093,2025-04-13,East,Desk,10,462.99,4629.9,0,Winter15,0,Wholesale,Bob,Credit Card,Store C,5.01,2025-04-15,April,2025
REG100094,2025-05-13,Central,Laptop,7,460.24,3060.596,0.05,Save10,1,Retail,Alice,Cash,Store A,11.54,2025-05-23,May,2025
REG100095,2024-04-21,West,Printer,17,309.52,4998.748,0.05,Freeship,0,Wholesale,Eva,Online,Store B,6.11,2024-04-27,April,2024
REG100096,2025-01-31,Central,Monitor,1,323.83,307.6385,0.05,Winter15,0,Wholesale,Eva,Credit Card,Store B,27.48,2025-02-08,January,2025
REG100097,2025-03-14,Central,Chair,10,503.07,5030.7,0,Freeship,0,Retail,Bob,Credit Card,Store C,44.61,2025-03-19,March,2025
REG100098,2024-05-26,West,Laptop,20,491.68,8358.56,0.15,Save10,1,Wholesale,Alice,Online,Store D,43.46,2024-05-29,May,2024
REG100099,2023-07-22,North,Phone,17,468.45,7565.4675,0.05,Freeship,0,Retail,Carlos,Credit Card,Store A,17.88,2023-07-26,July,2023
REG100100,2024-03-21,North,Laptop,11,401.76,3756.456,0.15,Save10,0,Retail,Frank,Gift Card,Store D,48.03,2024-03-30,March,2024
REG100101,2023-04-05,West,Printer,3,221,663,0,Freeship,0,Wholesale,Frank,Cash,Store B,32.31,2023-04-08,April,2023
REG100102,2024-08-26,East,Monitor,6,188.45,1074.165,0.05,No Promostion,0,Wholesale,Alice,Gift Card,Store C,6.77,2024-09-01,August,2024
REG100103,2024-07-07,North,Desk,3,566.2,1698.6,0,Freeship,1,Retail,Bob,Gift Card,Store D,28.97,2024-07-17,July,2024
REG100104,2023-09-29,East,Monitor,14,167.09,2222.297,0.05,Save10,1,Retail,Alice,Gift Card,Store D,47.05,2023-10-08,September,2023
REG100105,2023-10-04,West,Monitor,16,36.16,520.704,0.1,Freeship,0,Wholesale,Carlos,Debit Card,Store C,26.64,2023-10-11,October,2023
REG100106,2025-06-09,Central,Printer,2,73.94,140.486,0.05,Save10,0,Wholesale,Carlos,Debit Card,Store B,28.05,2025-06-16,June,2025
REG100107,2025-06-12,East,Printer,16,459.49,6616.656,0.1,Save10,0,Wholesale,Eva,Online,Store A,26.99,2025-06-14,June,2025
REG100108,2024-06-29,East,Chair,3,168.05,504.15,0,No Promostion,1,Retail,Carlos,Cash,Store A,21.08,2024-07-06,June,2024
REG100109,2024-03-23,North,Printer,14,37.54,446.726,0.15,No Promostion,1,Retail,Alice,Credit Card,Store B,49.6,2024-04-02,March,2024
REG100110,2024-07-14,South,Tablet,4,151.16,604.64,0,Save10,1,Wholesale,Alice,Gift Card,Store B,41.4,2024-07-21,July,2024
REG100111,2024-03-15,South,Tablet,17,78.58,1202.274,0.1,Winter15,0,Wholesale,Bob,Gift Card,Store A,8.02,2024-03-25,March,2024
REG100112,2025-04-19,Central,Chair,15,37.33,531.9525,0.05,No Promostion,1,Retail,Carlos,Cash,Store B,43.69,2025-04-24,April,2025
REG100113,2024-02-15,West,Tablet,18,537.02,8216.406,0.15,Save10,0,Wholesale,Carlos,Debit Card,Store A,23.94,2024-02-20,February,2024
REG100114,2024-01-25,East,Desk,5,215.6,1078,0,Winter15,0,Wholesale,Frank,Online,Store C,28.36,2024-02-04,January,2024
REG100115,2025-04-15,Central,Laptop,18,209.5,3771,0,Freeship,0,Wholesale,Carlos,Credit Card,Store D,38.23,2025-04-23,April,2025
REG100116,2025-04-15,Central,Chair,8,348.98,2512.656,0.1,Freeship,0,Retail,Frank,Online,Store A,19.17,2025-04-20,April,2025
REG100117,2024-08-11,West,Printer,2,289.14,549.366,0.05,Save10,0,Retail,Diana,Online,Store C,5.13,2024-08-13,August,2024
REG100118,2023-12-01,South,Desk,5,396.93,1984.65,0,Freeship,0,Wholesale,Diana,Credit Card,Store B,48.63,2023-12-08,December,2023
REG100119,2023-08-06,Central,Laptop,10,508.57,4831.415,0.05,Save10,0,Retail,Bob,Online,Store D,9.35,2023-08-11,August,2023
REG100120,2024-01-24,Central,Laptop,11,259.61,2570.139,0.1,Freeship,0,Wholesale,Carlos,Cash,Store C,13.73,2024-01-31,January,2024
REG100121,2024-03-07,Central,Chair,9,313.29,2819.61,0,Freeship,0,Retail,Carlos,Online,Store D,14.04,2024-03-13,March,2024
REG100122,2024-01-22,South,Tablet,5,106.57,479.565,0.1,Save10,1,Wholesale,Carlos,Debit Card,Store C,25.24,2024-01-28,January,2024
REG100123,2023-02-23,East,Printer,1,109,92.65,0.15,Winter15,1,Retail,Frank,Cash,Store B,8.03,2023-02-27,February,2023
REG100124,2023-06-14,North,Tablet,8,323.8,2590.4,0,Save10,1,Retail,Diana,Cash,Store B,35.23,2023-06-22,June,2023
REG100125,2025-05-13,North,Laptop,16,384.32,5841.664,0.05,Freeship,0,Retail,Frank,Cash,Store A,21.5,2025-05-15,May,2025
REG100126,2024-07-30,Central,Printer,16,163.86,2228.496,0.15,Freeship,0,Retail,Diana,Gift Card,Store C,37.95,2024-08-06,July,2024
REG100127,2024-07-18,East,Tablet,5,23.41,117.05,0,Winter15,0,Wholesale,Frank,Credit Card,Store B,26.44,2024-07-27,July,2024
REG100128,2024-08-26,East,Printer,20,488.9,8311.3,0.15,Freeship,0,Wholesale,Eva,Gift Card,Store C,21.77,2024-09-01,August,2024
REG100129,2025-06-08,West,Tablet,7,452.56,3009.524,0.05,Freeship,0,Wholesale,Frank,Gift Card,Store A,46.97,2025-06-15,June,2025
REG100130,2025-05-16,North,Desk,11,465.24,5117.64,0,No Promostion,1,Wholesale,Carlos,Debit Card,Store A,17.59,2025-05-23,May,2025
REG100131,2024-07-18,East,Phone,14,442.65,6197.1,0,Save10,0,Retail,Eva,Gift Card,Store B,28.76,2024-07-24,July,2024
REG100132,2023-09-17,West,Laptop,12,469.44,5633.28,0,Freeship,0,Wholesale,Bob,Online,Store B,33.3,2023-09-26,September,2023
REG100133,2023-03-13,East,Monitor,14,248.77,3308.641,0.05,Freeship,1,Wholesale,Bob,Debit Card,Store C,21.76,2023-03-19,March,2023
REG100134,2023-03-29,South,Chair,4,565.29,2148.102,0.05,No Promostion,0,Wholesale,Alice,Cash,Store D,27.04,2023-04-03,March,2023
REG100135,2023-07-14,Central,Desk,12,244.8,2790.72,0.05,Freeship,0,Wholesale,Frank,Online,Store B,44.75,2023-07-23,July,2023
REG100136,2024-03-22,West,Laptop,13,290.93,3592.9855,0.05,Freeship,0,Retail,Diana,Credit Card,Store C,26.09,2024-03-31,March,2024
REG100137,2024-05-14,Central,Laptop,11,229.49,2271.951,0.1,No Promostion,0,Retail,Bob,Cash,Store C,35.39,2024-05-17,May,2024
REG100138,2023-05-30,Central,Monitor,2,427.36,811.984,0.05,Save10,0,Wholesale,Diana,Online,Store A,19.42,2023-06-02,May,2023
REG100139,2023-03-19,North,Phone,2,443.51,842.669,0.05,No Promostion,0,Wholesale,Alice,Cash,Store C,13.65,2023-03-22,March,2023
REG100140,2023-08-09,Central,Desk,13,280.63,3100.9615,0.15,Save10,0,Wholesale,Alice,Credit Card,Store B,10.14,2023-08-14,August,2023
REG100141,2024-10-13,North,Chair,13,416.66,4604.093,0.15,Winter15,0,Wholesale,Bob,Credit Card,Store B,21.74,2024-10-20,October,2024
REG100142,2025-02-17,East,Chair,11,589.48,6484.28,0,Winter15,0,Retail,Alice,Online,Store B,49.93,2025-02-25,February,2025
REG100143,2025-06-11,North,Phone,18,152.84,2338.452,0.15,Freeship,1,Retail,Diana,Debit Card,Store C,20.3,2025-06-20,June,2025
REG100144,2024-04-29,Central,Tablet,4,163.66,654.64,0,Winter15,1,Retail,Bob,Gift Card,Store B,31.8,2024-05-01,April,2024
REG100145,2023-03-18,West,Laptop,19,484.25,7820.6375,0.15,Freeship,1,Wholesale,Bob,Debit Card,Store C,29.51,2023-03-20,March,2023
REG100146,2024-12-21,North,Chair,9,380.4,3081.24,0.1,No Promostion,0,Retail,Carlos,Credit Card,Store B,31,2024-12-27,December,2024
REG100147,2023-04-23,West,Chair,17,332.38,5085.414,0.1,Save10,1,Retail,Frank,Credit Card,Store A,33.81,2023-05-02,April,2023
REG100148,2025-05-11,Central,Chair,15,210.94,3005.895,0.05,Save10,0,Wholesale,Frank,Online,Store C,10.91,2025-05-21,May,2025
REG100149,2024-03-03,South,Phone,9,382.8,3445.2,0,No Promostion,0,Wholesale,Eva,Cash,Store D,47.94,2024-03-05,March,2024
REG100150,2025-01-20,North,Monitor,3,386.29,985.0395,0.15,Freeship,0,Retail,Carlos,Credit Card,Store C,32.45,2025-01-30,January,2025
REG100151,2025-03-22,North,Tablet,5,225.99,1129.95,0,Save10,1,Retail,Eva,Online,Store C,10.88,2025-03-30,March,2025
REG100152,2025-03-28,South,Printer,20,312.56,5313.52,0.15,Winter15,0,Retail,Frank,Gift Card,Store D,47.39,2025-03-30,March,2025
REG100153,2025-02-17,North,Phone,13,433.77,5357.0595,0.05,Freeship,0,Wholesale,Frank,Cash,Store C,17.61,2025-02-21,February,2025
REG100154,2024-11-08,South,Tablet,20,159.33,3186.6,0,Freeship,0,Wholesale,Eva,Online,Store A,26.32,2024-11-11,November,2024
REG100155,2024-03-17,South,Phone,18,32.23,551.133,0.05,Freeship,0,Retail,Bob,Credit Card,Store B,6.04,2024-03-21,March,2024
REG100156,2023-08-29,South,Monitor,3,527.77,1424.979,0.1,Freeship,0,Retail,Bob,Cash,Store C,48.66,2023-09-01,August,2023
REG100157,2023-06-22,South,Chair,14,291.09,4075.26,0,No Promostion,0,Retail,Carlos,Cash,Store A,39.98,2023-06-30,June,2023
REG100158,2024-02-24,South,Phone,8,350.12,2800.96,0,Freeship,1,Retail,Alice,Gift Card,Store C,31.65,2024-03-01,February,2024
REG100159,2024-04-10,North,Phone,10,195.26,1854.97,0.05,Winter15,0,Retail,Alice,Credit Card,Store D,46.91,2024-04-15,April,2024
REG100160,2023-05-14,South,Monitor,13,291.1,3784.3,0,Freeship,0,Wholesale,Alice,Online,Store A,7.66,2023-05-19,May,2023
REG100161,2023-03-11,South,Monitor,6,93.92,478.992,0.15,Freeship,0,Wholesale,Eva,Credit Card,Store B,11,2023-03-18,March,2023
REG100162,2024-08-24,Central,Printer,5,15.92,79.6,0,No Promostion,1,Retail,Eva,Credit Card,Store D,8.66,2024-08-26,August,2024
REG100163,2024-02-23,South,Monitor,16,120.22,1634.992,0.15,Save10,0,Retail,Bob,Cash,Store D,8.42,2024-03-01,February,2024
REG100164,2024-01-30,North,Monitor,11,118.8,1241.46,0.05,Save10,0,Retail,Eva,Online,Store A,39.32,2024-02-06,January,2024
REG100165,2024-01-23,East,Tablet,10,92.45,832.05,0.1,Winter15,1,Wholesale,Frank,Cash,Store C,42.61,2024-01-29,January,2024
REG100166,2023-01-05,North,Laptop,19,463.51,8806.69,0,Freeship,0,Retail,Bob,Cash,Store B,49.38,2023-01-08,January,2023
REG100167,2023-12-21,North,Desk,7,284.7,1893.255,0.05,No Promostion,0,Wholesale,Bob,Gift Card,Store D,5.36,2023-12-30,December,2023
REG100168,2023-05-25,West,Laptop,20,343.25,6521.75,0.05,Freeship,0,Wholesale,Alice,Debit Card,Store C,28.77,2023-06-02,May,2023
REG100169,2025-06-30,Central,Chair,6,95.24,485.724,0.15,Freeship,0,Wholesale,Diana,Gift Card,Store D,18.72,2025-07-08,June,2025
REG100170,2025-02-12,West,Desk,13,104.8,1294.28,0.05,Winter15,0,Retail,Diana,Credit Card,Store B,7.79,2025-02-19,February,2025
REG100171,2024-01-03,West,Tablet,12,164.31,1774.548,0.1,No Promostion,1,Wholesale,Eva,Cash,Store B,38.9,2024-01-07,January,2024
REG100172,2023-02-03,South,Tablet,10,325.18,2926.62,0.1,Winter15,0,Wholesale,Alice,Cash,Store C,47.39,2023-02-13,February,2023
REG100173,2024-03-01,East,Monitor,17,542.82,9227.94,0,Winter15,1,Wholesale,Alice,Debit Card,Store A,7.13,2024-03-08,March,2024
REG100174,2023-05-24,North,Tablet,14,207.48,2759.484,0.05,No Promostion,0,Wholesale,Eva,Online,Store C,5.7,2023-06-02,May,2023
REG100175,2025-06-22,North,Printer,17,527.88,8525.262,0.05,Winter15,0,Retail,Bob,Cash,Store D,21.32,2025-06-28,June,2025
REG100176,2023-04-10,North,Chair,11,71.21,744.1445,0.05,No Promostion,1,Retail,Diana,Online,Store B,44.2,2023-04-14,April,2023
REG100177,2025-03-04,Central,Printer,8,486.07,3888.56,0,Freeship,0,Retail,Carlos,Debit Card,Store B,10.68,2025-03-10,March,2025
REG100178,2024-07-11,East,Laptop,6,555.03,2997.162,0.1,No Promostion,1,Retail,Frank,Credit Card,Store C,23.69,2024-07-20,July,2024
REG100179,2024-08-17,East,Desk,13,421.08,5474.04,0,No Promostion,0,Wholesale,Bob,Cash,Store B,24.51,2024-08-20,August,2024
REG100180,2025-06-30,North,Laptop,16,76.17,1096.848,0.1,Winter15,0,Wholesale,Alice,Cash,Store D,41.88,2025-07-09,June,2025
REG100181,2024-11-06,South,Printer,3,503.55,1359.585,0.1,Winter15,0,Wholesale,Bob,Credit Card,Store C,37.49,2024-11-13,November,2024
REG100182,2025-04-01,East,Tablet,5,31.56,157.8,0,Save10,1,Retail,Diana,Online,Store D,29.56,2025-04-04,April,2025
REG100183,2024-07-01,West,Laptop,16,72.92,1108.384,0.05,Freeship,0,Wholesale,Frank,Cash,Store C,5.7,2024-07-06,July,2024
REG100184,2023-12-09,West,Printer,18,421.93,7215.003,0.05,Winter15,0,Retail,Bob,Gift Card,Store D,23.42,2023-12-18,December,2023
REG100185,2023-06-27,North,Desk,15,478.41,6458.535,0.1,Freeship,0,Retail,Carlos,Debit Card,Store B,35.63,2023-06-30,June,2023
REG100186,2023-07-14,South,Chair,9,501.74,4515.66,0,Save10,1,Retail,Bob,Online,Store D,39.74,2023-07-17,July,2023
