EmployeeNumber,Age,Gender,MaritalStatus,Attrition,Department,JobRole,JobSatisfaction,JobLevel,BusinessTravel,DistanceFromHome,Salary,OverTime,EnvironmentSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
42,39,Male,Married,Yes,Sales,Sales Representative,4,2,Travel_Rarely,5,2086,No,4,19,4,1,0
45,24,Male,Married,Yes,Research & Development,Research Scientist,4,1,Travel_Rarely,1,2293,Yes,2,6,2,2,2
46,43,Female,Divorced,No,Research & Development,Research Scientist,3,1,Travel_Rarely,2,2645,No,4,6,2,5,1
47,50,Male,Married,Yes,Sales,Sales Representative,3,1,Travel_Rarely,3,2683,Yes,1,3,3,3,0
49,35,Female,Married,No,Sales,Sales Representative,4,1,Travel_Rarely,2,2014,No,4,2,3,2,2
51,36,Female,Married,No,Research & Development,Research Scientist,1,1,Travel_Rarely,5,3419,Yes,2,6,4,1,0
52,33,Female,Married,No,Sales,Sales Executive,1,2,Travel_Frequently,1,5376,No,3,10,3,5,1
53,35,Male,Divorced,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,4,1951,No,3,1,3,1,0
54,27,Female,Divorced,No,Research & Development,Laboratory Technician,1,1,Travel_Rarely,2,2341,No,4,1,3,1,0
55,26,Male,Single,Yes,Research & Development,Laboratory Technician,3,1,Travel_Rarely,25,2293,No,1,1,2,1,0
56,27,Male,Single,No,Sales,Sales Executive,3,3,Travel_Frequently,8,8726,No,4,9,3,9,1
57,30,Female,Single,No,Research & Development,Laboratory Technician,4,2,Travel_Frequently,1,4011,No,3,12,3,12,3
58,41,Female,Married,Yes,Research & Development,Research Director,3,5,Travel_Rarely,12,19545,No,2,23,3,22,15
60,34,Male,Single,No,Sales,Sales Executive,3,2,Non-Travel,23,4568,No,2,10,3,9,8
61,37,Male,Married,No,Research & Development,Research Scientist,2,1,Travel_Rarely,19,3022,No,2,8,3,1,0
62,46,Male,Single,No,Sales,Sales Executive,4,2,Travel_Frequently,5,5772,Yes,1,14,3,9,0
63,35,Male,Married,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,8,2269,No,4,1,3,1,0
64,48,Male,Single,Yes,Research & Development,Laboratory Technician,3,3,Travel_Rarely,1,5381,Yes,1,23,3,1,0
65,28,Male,Single,Yes,Research & Development,Laboratory Technician,3,1,Travel_Rarely,5,3441,Yes,3,2,2,2,2
68,44,Female,Divorced,No,Sales,Sales Executive,1,2,Travel_Rarely,1,5454,Yes,2,9,2,4,1
70,35,Male,Married,No,Research & Development,Healthcare Representative,1,3,Non-Travel,11,9884,Yes,3,10,3,4,2
72,26,Female,Married,No,Sales,Sales Executive,4,2,Travel_Rarely,23,4157,Yes,3,5,2,2,0
73,33,Female,Single,No,Research & Development,Research Director,4,3,Travel_Frequently,1,13458,Yes,1,15,3,15,8
74,35,Male,Married,No,Sales,Sales Executive,1,3,Travel_Frequently,18,9069,No,2,9,2,9,1
75,35,Female,Married,No,Research & Development,Laboratory Technician,1,1,Travel_Rarely,23,4014,Yes,3,4,3,2,2
76,31,Male,Divorced,No,Research & Development,Laboratory Technician,4,2,Travel_Rarely,7,5915,No,4,10,2,7,1
77,37,Male,Divorced,No,Research & Development,Manufacturing Director,3,2,Travel_Rarely,1,5993,No,1,7,4,7,0
78,32,Male,Married,No,Research & Development,Manufacturing Director,4,2,Travel_Rarely,1,6162,Yes,1,9,3,9,7
79,38,Female,Single,No,Research & Development,Laboratory Technician,4,2,Travel_Frequently,29,2406,No,4,10,3,10,9
80,50,Female,Divorced,No,Research & Development,Research Director,3,5,Travel_Rarely,7,18740,Yes,2,29,2,27,13
81,59,Female,Single,No,Sales,Sales Executive,1,3,Travel_Rarely,25,7637,No,1,28,2,21,7
83,36,Female,Divorced,No,Research & Development,Healthcare Representative,3,3,Travel_Rarely,8,10096,No,3,17,3,17,12
84,55,Female,Divorced,No,Research & Development,Manager,3,4,Travel_Rarely,8,14756,Yes,4,21,3,5,0
85,36,Male,Single,No,Research & Development,Manufacturing Director,2,2,Travel_Frequently,11,6499,No,2,6,3,6,0
86,45,Male,Divorced,No,Research & Development,Research Scientist,1,3,Travel_Rarely,7,9724,No,2,25,3,1,0
88,35,Male,Married,No,Research & Development,Research Scientist,1,1,Travel_Frequently,1,2194,No,2,5,2,3,1
90,36,Male,Married,Yes,Research & Development,Research Scientist,3,1,Travel_Rarely,9,3388,Yes,4,2,2,1,0
91,59,Female,Single,No,Sales,Sales Executive,3,2,Travel_Frequently,1,5473,No,1,20,2,4,1
94,29,Male,Married,No,Research & Development,Research Scientist,2,1,Travel_Rarely,2,2703,No,3,6,3,5,0
95,31,Male,Single,No,Research & Development,Research Scientist,2,1,Travel_Rarely,1,2501,No,3,1,3,1,1
96,32,Male,Married,No,Research & Development,Research Scientist,2,2,Travel_Rarely,1,6220,No,2,10,3,10,0
97,36,Female,Married,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,6,3038,No,2,5,3,1,0
98,31,Female,Single,No,Research & Development,Manufacturing Director,4,2,Travel_Rarely,8,4424,No,3,11,3,11,1
100,35,Male,Single,No,Sales,Sales Executive,1,2,Travel_Rarely,1,4312,No,3,16,3,15,2
101,45,Male,Married,No,Research & Development,Research Director,1,3,Travel_Rarely,6,13245,Yes,4,17,4,0,0
102,37,Male,Single,No,Research & Development,Research Director,3,3,Travel_Rarely,7,13664,No,1,16,4,5,0
103,46,Male,Divorced,No,Human Resources,Human Resources,2,2,Travel_Rarely,5,5021,Yes,2,16,3,4,0
104,30,Male,Married,No,Research & Development,Laboratory Technician,4,2,Travel_Rarely,1,5126,Yes,4,10,2,10,3
105,35,Male,Single,No,Research & Development,Research Scientist,3,1,Travel_Rarely,1,2859,No,2,6,3,6,0
106,55,Male,Married,No,Sales,Sales Executive,4,3,Travel_Rarely,1,10239,No,1,24,3,1,1
107,38,Female,Divorced,No,Research & Development,Research Scientist,4,2,Non-Travel,6,5329,Yes,2,17,3,13,1
110,34,Male,Married,No,Research & Development,Manufacturing Director,2,2,Travel_Rarely,1,4325,No,1,5,3,5,1
112,56,Male,Single,No,Research & Development,Manufacturing Director,4,3,Travel_Rarely,7,7260,No,4,37,2,6,0
113,23,Male,Divorced,No,Sales,Sales Representative,1,1,Travel_Rarely,2,2322,No,3,3,3,0,0
116,51,Male,Married,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,9,2075,No,4,10,3,4,0
117,30,Male,Married,No,Research & Development,Healthcare Representative,4,2,Travel_Rarely,2,4152,No,3,11,3,11,10
118,46,Male,Single,Yes,Sales,Sales Executive,4,3,Travel_Rarely,9,9619,No,3,9,3,9,4
119,40,Male,Married,No,Research & Development,Healthcare Representative,2,4,Travel_Frequently,1,13503,No,3,22,2,22,11
120,51,Male,Single,No,Sales,Sales Executive,4,2,Travel_Rarely,21,5441,Yes,3,11,1,10,1
121,30,Female,Divorced,No,Sales,Sales Executive,2,2,Travel_Rarely,4,5209,Yes,3,11,2,11,2
124,46,Male,Married,No,Research & Development,Healthcare Representative,1,3,Travel_Frequently,1,10673,Yes,3,21,2,10,9
125,32,Male,Single,No,Sales,Sales Executive,3,2,Travel_Rarely,6,5010,No,2,12,3,11,5
126,54,Female,Married,No,Research & Development,Research Director,3,3,Travel_Rarely,2,13549,No,1,16,1,4,0
128,24,Female,Married,No,Sales,Sales Executive,3,2,Travel_Rarely,3,4999,No,1,4,2,3,0
129,28,Male,Married,No,Sales,Sales Executive,3,2,Non-Travel,4,4221,No,2,5,4,5,0
131,58,Male,Single,No,Sales,Sales Executive,3,4,Travel_Rarely,10,13872,No,4,38,2,37,1
132,44,Male,Married,No,Research & Development,Laboratory Technician,2,2,Non-Travel,23,2042,No,2,17,4,3,1
133,37,Male,Divorced,Yes,Human Resources,Human Resources,1,1,Travel_Rarely,6,2073,Yes,3,7,3,3,0
134,32,Male,Single,No,Research & Development,Research Scientist,1,1,Travel_Rarely,1,2956,No,4,1,3,1,0
137,20,Female,Single,Yes,Research & Development,Laboratory Technician,4,1,Travel_Frequently,6,2926,Yes,4,1,3,1,1
138,34,Female,Single,No,Research & Development,Research Scientist,3,2,Travel_Rarely,6,4809,No,1,16,3,16,2
139,37,Male,Divorced,No,Research & Development,Healthcare Representative,4,2,Non-Travel,2,5163,No,3,17,4,1,0
140,59,Female,Married,No,Human Resources,Manager,4,5,Non-Travel,2,18844,No,3,30,3,3,2
141,50,Female,Married,No,Research & Development,Research Director,2,5,Travel_Frequently,1,18172,Yes,1,28,2,8,0
142,25,Male,Single,Yes,Sales,Sales Executive,3,2,Travel_Rarely,5,5744,Yes,3,6,3,6,0
143,25,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,7,2889,No,4,2,3,2,2
144,22,Female,Single,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,15,2871,No,2,1,3,0,0
145,51,Female,Single,No,Research & Development,Healthcare Representative,1,3,Travel_Frequently,1,7484,No,1,23,2,13,12
147,34,Male,Single,Yes,Research & Development,Laboratory Technician,3,2,Travel_Frequently,7,6074,Yes,1,9,3,9,0
148,54,Female,Single,No,Human Resources,Manager,4,4,Non-Travel,26,17328,Yes,4,23,3,5,4
150,24,Male,Married,No,Research & Development,Laboratory Technician,3,1,Travel_Rarely,18,2774,No,2,6,3,5,1
151,34,Female,Divorced,No,Research & Development,Research Scientist,2,2,Travel_Rarely,6,4505,No,3,12,3,1,0
152,37,Male,Single,No,Sales,Sales Executive,4,3,Travel_Rarely,3,7428,No,3,12,3,5,1
153,34,Female,Single,No,Research & Development,Manager,1,3,Travel_Rarely,5,11631,No,3,14,3,11,5
154,36,Female,Married,No,Sales,Sales Executive,4,3,Travel_Frequently,11,9738,No,2,10,3,9,2
155,36,Female,Divorced,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,3,2835,No,1,7,3,1,0
158,43,Male,Married,No,Sales,Manager,4,4,Travel_Frequently,26,16959,Yes,3,25,4,25,4
159,30,Male,Divorced,No,Research & Development,Research Scientist,3,1,Travel_Frequently,23,2613,No,1,10,2,10,0
160,33,Male,Married,No,Sales,Sales Executive,2,2,Non-Travel,22,6146,No,3,8,4,7,0
161,56,Female,Married,Yes,Research & Development,Research Scientist,2,1,Travel_Rarely,14,4963,Yes,2,7,3,5,4
162,51,Male,Single,No,Research & Development,Research Director,3,5,Travel_Rarely,6,19537,No,1,23,3,20,15
163,31,Male,Married,Yes,Sales,Sales Executive,3,2,Travel_Rarely,6,6172,Yes,2,12,2,7,7
164,26,Female,Married,No,Research & Development,Research Scientist,2,1,Travel_Rarely,6,2368,No,3,5,2,5,4
165,58,Female,Married,Yes,Research & Development,Healthcare Representative,4,3,Travel_Rarely,23,10312,No,4,40,2,40,15
167,19,Male,Single,Yes,Sales,Sales Representative,3,1,Travel_Rarely,22,1675,Yes,4,0,2,0,0
169,22,Male,Married,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,2,2523,No,3,3,3,2,2
170,49,Female,Married,No,Research & Development,Manufacturing Director,1,2,Travel_Rarely,20,6567,No,3,16,2,15,5
171,43,Female,Single,No,Research & Development,Research Scientist,3,1,Travel_Frequently,28,4739,No,2,18,3,3,1
174,50,Female,Single,No,Sales,Sales Executive,4,3,Travel_Frequently,12,9208,No,3,16,3,2,2
175,31,Female,Married,Yes,Sales,Sales Executive,3,2,Travel_Rarely,20,4559,Yes,2,4,3,2,2
176,41,Male,Divorced,No,Sales,Sales Executive,3,3,Travel_Rarely,9,8189,Yes,3,12,3,9,0
177,26,Female,Married,No,Human Resources,Human Resources,3,1,Travel_Rarely,25,2942,No,3,8,3,8,5
178,36,Male,Divorced,No,Research & Development,Manufacturing Director,2,2,Travel_Rarely,6,4941,No,2,7,3,3,0
179,51,Male,Single,Yes,Research & Development,Manufacturing Director,4,3,Travel_Frequently,8,10650,No,1,18,3,4,0
182,39,Female,Married,No,Sales,Sales Executive,3,2,Travel_Rarely,4,5902,No,4,17,4,15,5
183,25,Male,Married,No,Sales,Sales Executive,3,2,Travel_Rarely,28,8639,No,1,6,3,2,2
184,30,Male,Married,No,Human Resources,Human Resources,4,2,Travel_Rarely,9,6347,Yes,3,12,1,11,4
190,32,Female,Single,Yes,Research & Development,Laboratory Technician,1,1,Travel_Rarely,9,4200,No,1,10,4,5,0
192,45,Male,Single,No,Research & Development,Research Scientist,4,1,Travel_Rarely,29,3452,No,3,9,2,6,0
193,38,Female,Single,No,Research & Development,Research Scientist,3,2,Travel_Rarely,3,4317,Yes,4,19,3,3,2
194,30,Female,Single,No,Research & Development,Research Scientist,3,1,Travel_Rarely,18,2632,No,1,5,2,5,0
195,32,Male,Divorced,No,Sales,Sales Executive,4,2,Travel_Frequently,9,4668,No,4,9,4,8,0
197,30,Female,Divorced,No,Research & Development,Research Scientist,1,1,Travel_Rarely,5,3204,No,4,8,3,3,2
198,30,Male,Single,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,2,2720,No,2,6,3,5,1
199,41,Male,Divorced,No,Research & Development,Manager,1,4,Travel_Frequently,10,17181,No,4,21,2,7,7
200,41,Male,Married,No,Research & Development,Laboratory Technician,1,1,Travel_Rarely,9,2238,No,3,7,3,5,1
201,19,Female,Single,No,Research & Development,Laboratory Technician,2,1,Travel_Rarely,3,1483,No,2,1,3,1,0
202,40,Female,Divorced,No,Research & Development,Research Scientist,2,2,Travel_Frequently,26,5605,No,2,20,3,20,2
204,35,Male,Married,No,Sales,Sales Executive,2,3,Travel_Rarely,1,7295,No,3,10,3,10,0
205,53,Male,Married,No,Sales,Sales Representative,3,2,Travel_Rarely,6,2306,Yes,2,13,1,7,4
206,45,Male,Divorced,No,Research & Development,Laboratory Technician,2,2,Travel_Rarely,9,2348,No,2,20,1,17,0
207,32,Female,Single,No,Sales,Sales Executive,4,3,Travel_Frequently,8,8998,No,2,9,3,9,3
208,29,Male,Married,No,Research & Development,Manufacturing Director,3,2,Non-Travel,1,4319,No,4,10,3,10,0
211,51,Male,Married,No,Research & Development,Manufacturing Director,3,2,Travel_Rarely,7,6132,No,2,10,3,1,0
214,58,Female,Married,No,Research & Development,Research Scientist,2,1,Travel_Rarely,9,3346,Yes,2,9,2,1,0
215,40,Male,Married,No,Sales,Sales Executive,4,3,Travel_Rarely,4,10855,No,3,15,2,12,2
216,34,Female,Married,No,Sales,Sales Representative,3,1,Travel_Frequently,2,2231,No,3,6,3,4,1
217,22,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,19,2323,No,3,2,3,2,2
218,27,Male,Divorced,No,Research & Development,Research Scientist,2,1,Non-Travel,9,2024,No,4,6,1,2,2
221,28,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,21,2713,No,3,5,1,5,0
223,57,Male,Divorced,No,Research & Development,Healthcare Representative,4,3,Travel_Rarely,24,9439,Yes,3,12,1,5,1
224,27,Male,Divorced,No,Research & Development,Research Scientist,3,1,Non-Travel,3,2566,Yes,3,1,2,1,0
226,50,Female,Single,No,Research & Development,Manager,2,5,Travel_Rarely,11,19926,No,3,21,3,5,4
227,41,Male,Divorced,No,Research & Development,Research Scientist,3,1,Travel_Rarely,14,2451,No,1,13,3,9,1
228,30,Female,Married,No,Sales,Sales Executive,4,3,Travel_Rarely,5,9419,No,2,12,3,10,7
230,38,Female,Single,No,Sales,Sales Executive,4,2,Travel_Rarely,1,8686,No,1,12,4,8,0
231,32,Male,Single,No,Research & Development,Research Scientist,3,1,Travel_Rarely,6,3038,No,3,8,3,5,1
233,27,Male,Married,No,Research & Development,Research Scientist,2,1,Travel_Rarely,17,3058,Yes,3,6,2,5,1
235,19,Female,Single,Yes,Sales,Sales Representative,1,1,Travel_Frequently,1,2325,No,3,1,4,0,0
238,36,Male,Single,No,Research & Development,Laboratory Technician,2,1,Travel_Frequently,3,2088,No,4,13,2,8,7
239,30,Male,Divorced,No,Research & Development,Laboratory Technician,1,2,Non-Travel,9,3072,No,3,12,3,12,6
240,45,Female,Divorced,No,Sales,Sales Executive,1,2,Travel_Rarely,4,5006,Yes,3,9,4,5,0
241,56,Female,Divorced,No,Research & Development,Research Scientist,1,1,Travel_Rarely,8,4257,Yes,3,19,3,2,2
242,33,Male,Single,No,Research & Development,Research Scientist,4,1,Travel_Rarely,2,2500,No,3,4,4,3,0
243,19,Male,Single,Yes,Research & Development,Laboratory Technician,4,1,Travel_Rarely,2,1102,No,2,1,2,1,1
244,46,Female,Divorced,No,Sales,Sales Executive,1,3,Travel_Rarely,1,10453,No,2,24,3,24,15
245,38,Female,Single,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,9,2288,No,3,2,3,2,2
246,31,Female,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,12,3929,Yes,3,7,3,4,0
247,34,Female,Single,No,Research & Development,Research Scientist,2,1,Travel_Rarely,27,2311,No,4,9,3,3,1
248,41,Female,Single,Yes,Sales,Sales Representative,2,1,Travel_Rarely,20,3140,Yes,2,4,2,4,0
249,50,Male,Married,No,Research & Development,Laboratory Technician,3,1,Travel_Rarely,1,3690,No,3,5,2,3,0
250,53,Female,Divorced,No,Research & Development,Manufacturing Director,1,2,Travel_Rarely,13,4450,No,4,5,3,4,1
252,33,Female,Married,No,Research & Development,Research Scientist,2,1,Travel_Rarely,14,2756,No,4,8,3,8,1
253,40,Female,Married,No,Research & Development,Manager,3,5,Travel_Rarely,4,19033,No,4,21,3,20,9
254,55,Male,Single,No,Research & Development,Research Director,2,5,Travel_Rarely,14,18722,No,3,36,3,24,2
256,34,Male,Married,No,Research & Development,Manufacturing Director,3,2,Travel_Frequently,2,9547,No,4,10,2,10,1
258,51,Female,Single,No,Research & Development,Healthcare Representative,2,4,Travel_Rarely,3,13734,No,4,21,3,7,1
259,52,Male,Married,No,Research & Development,Manager,3,5,Travel_Rarely,1,19999,No,3,34,3,33,11
260,27,Female,Single,No,Research & Development,Research Scientist,2,1,Travel_Rarely,9,2279,No,4,7,2,7,0
261,35,Male,Married,Yes,Research & Development,Manufacturing Director,3,2,Travel_Rarely,23,5916,Yes,2,8,3,1,0
262,43,Male,Divorced,No,Research & Development,Research Scientist,4,1,Non-Travel,7,2089,No,4,7,4,5,2
264,45,Male,Married,No,Research & Development,Manager,4,4,Non-Travel,2,16792,No,1,22,3,20,11
267,37,Male,Married,No,Research & Development,Research Scientist,1,1,Travel_Rarely,21,3564,Yes,2,8,2,8,1
269,35,Female,Single,No,Research & Development,Laboratory Technician,2,2,Travel_Frequently,2,4425,No,2,10,3,6,1
270,42,Female,Divorced,No,Research & Development,Manufacturing Director,3,2,Non-Travel,21,5265,No,3,11,3,5,0
271,38,Male,Married,No,Research & Development,Manufacturing Director,3,2,Travel_Rarely,2,6553,No,4,14,3,1,0
273,38,Male,Married,No,Research & Development,Manufacturing Director,4,2,Travel_Rarely,29,6261,No,4,9,1,7,1
274,27,Male,Married,No,Research & Development,Manufacturing Director,1,2,Travel_Frequently,1,4298,No,3,6,3,2,2
275,49,Male,Divorced,No,Research & Development,Manufacturing Director,4,2,Non-Travel,18,6804,Yes,4,7,3,7,1
277,34,Male,Divorced,No,Research & Development,Research Scientist,3,1,Travel_Frequently,10,3815,Yes,4,5,4,5,2
281,40,Male,Married,No,Research & Development,Laboratory Technician,4,2,Travel_Rarely,19,2741,Yes,3,15,4,7,3
282,38,Male,Married,Yes,Research & Development,Healthcare Representative,1,2,Travel_Rarely,29,6673,Yes,2,17,3,1,0
283,29,Female,Married,Yes,Sales,Sales Executive,4,3,Travel_Rarely,27,7639,No,2,10,2,10,1
284,22,Male,Divorced,No,Research & Development,Research Scientist,2,1,Travel_Rarely,5,2328,Yes,4,4,2,4,2
286,36,Female,Single,No,Research & Development,Laboratory Technician,4,1,Travel_Frequently,18,2153,No,2,8,3,8,1
287,40,Male,Married,No,Research & Development,Healthcare Representative,4,2,Non-Travel,9,4876,No,4,5,1,3,0
288,46,Male,Divorced,No,Research & Development,Healthcare Representative,1,3,Travel_Rarely,1,9396,No,4,17,3,4,0
291,32,Male,Married,Yes,Sales,Sales Executive,4,3,Travel_Rarely,4,10400,No,4,14,2,14,9
292,30,Male,Single,No,Research & Development,Manufacturing Director,3,3,Non-Travel,1,8474,No,3,12,3,11,5
293,27,Female,Single,No,Sales,Sales Executive,3,2,Travel_Frequently,20,9981,No,4,7,3,7,0
296,51,Male,Married,No,Research & Development,Research Director,2,3,Travel_Rarely,8,12490,No,2,16,1,10,4
297,30,Female,Single,Yes,Research & Development,Research Scientist,1,1,Travel_Rarely,3,2657,Yes,4,8,3,5,0
298,41,Female,Single,No,Sales,Manager,4,3,Travel_Rarely,6,13591,Yes,4,16,3,1,0
299,30,Female,Single,Yes,Sales,Sales Executive,1,2,Travel_Frequently,26,6696,No,3,9,2,6,0
300,29,Male,Single,Yes,Research & Development,Research Scientist,3,1,Travel_Rarely,1,2058,No,3,7,2,6,1
302,45,Female,Single,No,Sales,Sales Executive,4,3,Non-Travel,6,8865,No,4,23,3,19,12
303,54,Female,Married,No,Sales,Sales Executive,1,2,Travel_Rarely,3,5940,No,4,16,3,6,0
304,36,Male,Single,No,Research & Development,Laboratory Technician,2,2,Travel_Rarely,5,5914,No,4,16,4,13,3
305,33,Female,Married,No,Research & Development,Research Scientist,2,1,Travel_Rarely,4,2622,No,3,7,3,3,1
306,37,Male,Divorced,No,Research & Development,Research Director,4,3,Travel_Frequently,11,12185,Yes,2,10,3,10,0
307,38,Male,Divorced,No,Sales,Sales Executive,3,3,Travel_Rarely,3,10609,No,1,17,2,16,5
308,31,Male,Married,No,Research & Development,Manufacturing Director,3,2,Non-Travel,1,4345,No,3,6,3,5,1
309,59,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,3,2177,No,3,7,3,1,0
311,37,Male,Divorced,No,Sales,Sales Representative,4,1,Travel_Frequently,4,2793,No,1,13,3,9,5
312,29,Female,Married,No,Sales,Sales Executive,4,3,Travel_Frequently,1,7918,No,2,11,3,11,4
314,35,Female,Single,No,Sales,Sales Executive,3,3,Travel_Frequently,1,8789,No,3,10,4,10,0
315,29,Male,Single,Yes,Research & Development,Research Scientist,4,1,Travel_Rarely,18,2389,Yes,3,4,2,4,0
316,52,Female,Single,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,2,3212,No,3,6,2,2,2
319,42,Male,Married,No,Research & Development,Manager,4,5,Travel_Rarely,4,19232,No,3,22,3,22,11
321,59,Male,Married,No,Human Resources,Human Resources,3,1,Travel_Rarely,6,2267,No,2,7,2,2,2
323,50,Female,Divorced,No,Sales,Manager,4,5,Travel_Rarely,1,19517,No,4,32,2,7,0
325,33,Male,Married,Yes,Research & Development,Laboratory Technician,4,1,Travel_Rarely,14,2436,Yes,3,8,1,5,0
327,43,Female,Married,No,Sales,Manager,4,4,Travel_Rarely,16,16064,Yes,4,22,3,17,1
328,33,Female,Married,Yes,Research & Development,Laboratory Technician,1,1,Travel_Rarely,2,2707,No,1,13,4,9,1
329,52,Male,Single,No,Sales,Manager,3,5,Non-Travel,2,19068,Yes,1,33,4,33,15
330,32,Female,Married,No,Sales,Sales Representative,2,1,Travel_Rarely,4,3931,No,3,6,3,4,1
331,32,Male,Single,Yes,Research & Development,Laboratory Technician,3,1,Travel_Rarely,1,3730,Yes,4,4,1,3,1
332,39,Female,Divorced,No,Research & Development,Laboratory Technician,3,1,Travel_Rarely,1,2232,No,3,7,3,3,1
333,32,Male,Married,No,Sales,Sales Executive,4,2,Non-Travel,26,4465,No,3,4,3,3,2
334,41,Male,Divorced,No,Research & Development,Research Scientist,1,2,Travel_Rarely,19,3072,No,3,17,2,1,0
335,40,Male,Divorced,No,Research & Development,Research Scientist,4,2,Travel_Rarely,24,3319,No,1,9,3,9,4
336,45,Male,Married,No,Research & Development,Manager,4,5,Travel_Rarely,1,19202,No,3,25,3,24,1
